Company,Value
 Technology Hardware Storage & Peripherals,1
-3.245867760658543,1
-1.7195444795473458,1
-1.4885352999198078,1
-1.385571626982522,1
-1.212169383102705,1
-0.8999455901036382,1
-0.8664772727272729,1
-0.7699133253765686,1
-0.7271935993920295,1
-0.7192621311715649,1
-0.6296001481563442,1
-0.6206789434360809,1
-0.5890214211629066,1
-0.5622698538104252,1
-0.4916630714921725,1
 Housewares & Specialties,1
1.636700996326245,1
0.8874065052712126,1
0.3184297300572936,1
0.13378826749324912,1
-0.03546061338896392,1
-0.12141304527914087,1
-0.14362394957028357,1
-0.21383802298687782,1
-0.2643081096394774,1
-0.3045349319833389,1
-0.324636531212134,1
-0.33625837107569007,1
-0.3483782515909054,1
-0.3584845648889718,1
-0.4073947169362745,1
